"","score","protein1","protein2"
"1",0.952,"ARF5","RAB11FIP3"
"2",0.993,"GGA3","M6PR"
"3",0.911,"GGA2","M6PR"
"4",0.957,"GGA1","M6PR"
"5",0.991,"IGF2R","M6PR"
"6",0.979,"FKBP4","STIP1"
"7",0.945,"FKBP4","NR3C2"
"8",0.972,"FKBP4","FKBP5"
"9",0.942,"FKBP4","HSPA8"
"10",0.983,"FKBP4","GLMN"
"11",0.961,"FKBP4","MTOR"
"12",0.914,"AKT1","FKBP4"
"13",0.99,"FKBP4","PTGES3"
"14",0.957,"DNAJB1","FKBP4"
"15",0.937,"FKBP4","PPID"
"16",0.999,"FKBP4","HSP90AB1"
"17",0.998,"FKBP4","HSPA4"
"18",0.996,"FKBP4","NR3C1"
"19",0.999,"FKBP4","HSP90AA1"
"20",0.977,"FKBP4","PGR"
"21",0.973,"AHSA1","FKBP4"
"22",0.993,"FKBP4","PHLPP1"
"23",0.928,"AR","FKBP4"
"24",0.938,"CYP26B1","CYP2C9"
"25",0.927,"CYP26B1","CYP4A22"
"26",0.936,"CYP26B1","CYP3A7"
"27",0.935,"CYP26B1","CYP3A5"
"28",0.94,"CYP26B1","CYP2C8"
"29",0.941,"CYP26B1","CYP2S1"
"30",0.964,"ALDH1A1","CYP26B1"
"31",0.919,"CYP26A1","CYP26B1"
"32",0.922,"CYP26B1","CYP26C1"
"33",0.932,"CYP26B1","CYP3A7-CYP3A51P"
"34",0.945,"CYP1A2","CYP26B1"
"35",0.939,"CYP26B1","CYP3A4"
"36",0.943,"CYP1A1","CYP26B1"
"37",0.921,"AOX1","CYP26B1"
"38",0.937,"CYP26B1","CYP2C18"
"39",0.936,"CYP26B1","CYP2A6"
"40",0.936,"CYP26B1","CYP2B6"
"41",0.926,"CYP26B1","CYP4A11"
"42",0.934,"CYP26B1","STRA8"
"43",0.973,"ALDH1A3","CYP26B1"
"44",0.988,"ALDH1A2","CYP26B1"
"45",0.947,"NDUFAF7","NDUFS2"
"46",0.92,"NDUFAF5","NDUFAF7"
"47",0.928,"FUCA1","FUCA2"
"48",0.992,"PLXNA1","SEMA3F"
"49",0.999,"NRP1","SEMA3F"
"50",0.999,"NRP2","SEMA3F"
"51",0.999,"PLXNA3","SEMA3F"
"52",0.976,"CFTR","PRKACG"
"53",0.979,"CFTR","RNF5"
"54",0.936,"CANX","CFTR"
"55",0.992,"CFTR","GOPC"
"56",0.91,"CFTR","SLC26A9"
"57",0.944,"CFTR","YWHAB"
"58",0.901,"CFTR","PRKAG3"
"59",0.917,"CFTR","DERL1"
"60",0.964,"CFTR","TJP1"
"61",0.982,"CFTR","PRKACA"
"62",0.922,"CFTR","PRKAG1"
"63",0.944,"CFTR","PRKAB2"
"64",0.986,"CFTR","HSPA8"
"65",0.975,"CFTR","SLC9A3R2"
"66",0.908,"CFTR","PRKAB1"
"67",0.986,"CFTR","HSP90AA1"
"68",0.925,"CFTR","KCNJ1"
"69",0.957,"CFTR","FLNA"
"70",0.905,"CFTR","PRKAG2"
"71",0.914,"CFTR","YWHAG"
"72",0.953,"CFTR","PRKAA1"
"73",0.976,"CFTR","PRKACB"
"74",0.925,"CFTR","HSPA4"
"75",0.938,"CFTR","VCP"
"76",0.964,"CFTR","HSP90AB1"
"77",0.907,"CFTR","PRKAA2"
"78",0.921,"CFTR","SLC26A6"
"79",0.969,"CFTR","PDZK1"
"80",0.935,"CFTR","USP10"
"81",0.917,"CFTR","YWHAZ"
"82",0.999,"CFTR","SLC9A3R1"
"83",0.97,"CFTR","STUB1"
"84",0.989,"CYP51A1","NSDHL"
"85",0.992,"CYP51A1","DHCR24"
"86",0.985,"CYP51A1","SIGMAR1"
"87",0.984,"CYP51A1","HMGCS1"
"88",0.96,"CYP51A1","POR"
"89",0.995,"CYP51A1","ERG28"
"90",0.987,"CYP51A1","SC5D"
"91",0.997,"CYP51A1","FDFT1"
"92",0.996,"CYP51A1","HSD17B7"
"93",0.918,"CYP51A1","SREBF2"
"94",0.978,"CYP51A1","DHCR7"
"95",0.993,"CYP51A1","LBR"
"96",0.999,"CYP51A1","LSS"
"97",0.921,"CYP51A1","HMGCS2"
"98",0.976,"CH25H","CYP51A1"
"99",0.972,"CYP51A1","FAXDC2"
"100",0.942,"CYP51A1","IDI1"
"101",0.998,"CYP51A1","SQLE"
"102",0.948,"CYP51A1","HMGCR"
"103",0.996,"CYP51A1","TM7SF2"
"104",0.996,"CYP51A1","MSMO1"
"105",0.932,"RPS27A","USP28"
"106",0.998,"TP53BP1","USP28"
"107",0.991,"UBC","USP28"
"108",0.951,"UBA52","USP28"
"109",0.93,"UBB","USP28"
"110",0.966,"MYC","USP28"
"111",0.966,"FBXW7","USP28"
"112",0.902,"HSPB1","HSPB6"
"113",0.916,"HSPB6","SFN"
"114",0.938,"BAG3","HSPB6"
"115",0.904,"HSPA9","PDK4"
"116",0.99,"ADGRV1","USH1C"
"117",0.999,"MYO7A","USH1C"
"118",0.99,"USH1C","USH2A"
"119",0.985,"MYO7B","USH1C"
